"metabolite","X1","X2","Assigned_Cluster","super_pathway","sub_pathway","Challenge"
"1-docosahexaenoyl-gpe (22:6)",0.999949106947103,5.08930528973892e-05,1,"Lipids","Lysolipid","Fasting"
"1-linoleoyl-gpe (18:2)",0.000275059734617901,0.999724940265382,2,"Lipids","Lysolipid","Fasting"
"10-undecenoate (11:1n1)",0.999999986887161,1.31128384770386e-08,1,"Lipids","Medium Chain Fatty Acid","Fasting"
"13-hode + 9-hode",0.999934817495979,6.51825040209352e-05,1,"Lipids","Fatty Acid, Monohydroxy","Fasting"
"15-methylpalmitate",0.999989400421061,1.05995789391672e-05,1,"Lipids","Fatty Acid, Branched","Fasting"
"16-hydroxypalmitate",0.999999727786122,2.72213878267798e-07,1,"Lipids","Fatty Acid, Monohydroxy","Fasting"
"17-methylstearate",0.999997051110627,2.94888937263128e-06,1,"Lipids","Fatty Acid, Branched","Fasting"
"2-hydroxy-3-methylvalerate",0.00704479036129374,0.992955209638706,2,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","Fasting"
"2-hydroxybutyrate/2-hydroxyisobutyrate",0.99999999987171,1.28290236559391e-10,1,"Amino Acids","Methionine, Cysteine, SAM and Taurine Metabolism","Fasting"
"2,3-dihydroxyisovalerate",5.87396544365626e-09,0.999999994126035,2,"Xenobiotics","Food Component/Plant","Fasting"
"3-(4-hydroxyphenyl)lactate",6.69804873359659e-09,0.999999993301951,2,"Amino Acids","Phenylalanine and Tyrosine Metabolism","Fasting"
"3-aminoisobutyrate",0.999972938941271,2.70610587293143e-05,1,"Nucleotides","Pyrimidine Metabolism, Thymine containing","Fasting"
"3-hydroxy-3-methylglutarate",0.00026065071237618,0.999739349287624,2,"Lipids","Mevalonate Metabolism","Fasting"
"3-hydroxybutyrate (bhba)",0.999999933346336,6.66536638294423e-08,1,"Lipids","Ketone Bodies","Fasting"
"3-hydroxybutyrylcarnitine (1)",0.999999993585822,6.4141782404577e-09,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"3-hydroxybutyrylcarnitine (2)",0.999999500761036,4.99238963778646e-07,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"3-hydroxydecanoate",0.986663631511591,0.0133363684884086,1,"Lipids","Fatty Acid, Monohydroxy","Fasting"
"3-hydroxyhippurate",0.999366442110365,0.000633557889634705,1,"Xenobiotics","Benzoate Metabolism","Fasting"
"3-hydroxylaurate",0.999999999999929,7.12306690137258e-14,1,"Lipids","Fatty Acid, Monohydroxy","Fasting"
"3-hydroxymyristate",0.999991769307205,8.23069279477916e-06,1,"Lipids","Fatty Acid, Monohydroxy","Fasting"
"3-hydroxyoctanoate",2.8049522371969e-08,0.999999971950478,2,"Lipids","Fatty Acid, Monohydroxy","Fasting"
"3-hydroxypyridine sulfate",0.999238204029517,0.00076179597048279,1,"Xenobiotics","Chemical","Fasting"
"3-indoxyl sulfate",0.00050726173517978,0.99949273826482,2,"Amino Acids","Tryptophan Metabolism","Fasting"
"3-methyl-2-oxobutyrate",0.999607351640281,0.000392648359719365,1,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","Fasting"
"3-methyl-2-oxovalerate",0.671183828297532,0.328816171702468,1,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","Fasting"
"3-phenylpropionate (hydrocinnamate)",9.76235205438616e-09,0.999999990237648,2,"Amino Acids","Phenylalanine and Tyrosine Metabolism","Fasting"
"4-androsten-3alpha,17alpha-diol monosulfate (2)",4.52024048893924e-06,0.999995479759511,2,"Lipids","Steroid","Fasting"
"4-androsten-3beta,17beta-diol monosulfate (1)",0.979381498516692,0.0206185014833075,1,"Lipids","Steroid","Fasting"
"4-hydroxyhippurate",5.8500648512329e-06,0.999994149935149,2,"Xenobiotics","Benzoate Metabolism","Fasting"
"4-methyl-2-oxopentanoate",0.99998449792746,1.55020725400527e-05,1,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","Fasting"
"5-dodecenoate (12:1n7)",0.999795484857419,0.000204515142581078,1,"Lipids","Medium Chain Fatty Acid","Fasting"
"acetoacetate",0.999999999959424,4.05756389816953e-11,1,"Lipids","Ketone Bodies","Fasting"
"acetylcarnitine",0.999745453114433,0.000254546885566921,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"adipoylcarnitine",0.999999999999723,2.76625300862986e-13,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"alanine",3.82965482326816e-08,0.999999961703452,2,"Amino Acids","Alanine and Aspartate Metabolism","Fasting"
"alpha-hydroxyisocaproate",0.99998203929249,1.79607075100639e-05,1,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","Fasting"
"alpha-ketobutyrate",1,6.53247666833534e-19,1,"Amino Acids","Methionine, Cysteine, SAM and Taurine Metabolism","Fasting"
"c0 (carnitine)",0.0202880264870625,0.979711973512937,2,"Lipids","Carnitine Metabolism","Fasting"
"c12 (dodecanoylcarnitine)",0.209186091548848,0.790813908451152,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"c14 (tetradecanoylcarnitine)",0.2529367167371,0.7470632832629,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"c14:1 (tetradecenoylcarnitine)",0.0868221284329906,0.913177871567009,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"c14:1-oh (hydroxytetradecenoylcarnitine)",0.0605705045229918,0.939429495477008,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"c14:2 (tetradecadienylcarnitine)",0.0381426551849181,0.961857344815082,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"c16:2 (hexadecadienylcarnitine)",0.082281599013236,0.917718400986764,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"c18:1 (octadecenoylcarnitine)",0.0261343272168104,0.97386567278319,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"c2 (acetylcarnitine)",0.0603106627186344,0.939689337281366,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"c3 (propionylcarnitine)",0.331841819008621,0.668158180991379,2,"Lipids","Fatty Acid Metabolism (also BCAA Metabolism)","Fasting"
"c4 (butyrylcarnitine)",0.269288674064044,0.730711325935956,2,"Lipids","Fatty Acid Metabolism (also BCAA Metabolism)","Fasting"
"caprate (10:0)",0.999917173163817,8.28268361830411e-05,1,"Lipids","Medium Chain Fatty Acid","Fasting"
"choline",0.999942768776895,5.72312231053294e-05,1,"Lipids","Phospholipid Metabolism","Fasting"
"cis-aconitate",1.19473261184115e-08,0.999999988052674,2,"Energy","TCA Cycle","Fasting"
"cortisol",8.59067338746356e-07,0.999999140932661,2,"Lipids","Steroid","Fasting"
"deoxycholate",0.000318857977206613,0.999681142022793,2,"Lipids","Secondary Bile Acid Metabolism","Fasting"
"dodecanedioate",0.999999999999999,1.40664548438287e-15,1,"Lipids","Fatty Acid, Dicarboxylate","Fasting"
"dopamine sulfate (2)",0.00468649499393936,0.99531350500606,2,"Amino Acids","Phenylalanine and Tyrosine Metabolism","Fasting"
"gamma-glutamylglycine",0.973901997563034,0.0260980024369661,1,"Peptides","Gamma-glutamyl Amino Acid","Fasting"
"gamma-glutamyltryptophan",0.9999997934413,2.065586998073e-07,1,"Peptides","Gamma-glutamyl Amino Acid","Fasting"
"glycerol",0.999999975281902,2.47180975969491e-08,1,"Lipids","Glycerolipid Metabolism","Fasting"
"hexadecanedioate",0.999999999999978,2.18009430570162e-14,1,"Lipids","Fatty Acid, Dicarboxylate","Fasting"
"hippurate",0.38276616756222,0.61723383243778,2,"Xenobiotics","Benzoate Metabolism","Fasting"
"indoleacetylglutamine",5.97960278427578e-08,0.999999940203972,2,"Amino Acids","Tryptophan Metabolism","Fasting"
"indolepropionate",0.999999670104736,3.29895263520367e-07,1,"Amino Acids","Tryptophan Metabolism","Fasting"
"isobutyrylcarnitine",0.000199937270704438,0.999800062729295,2,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","Fasting"
"laurate (12:0)",0.99992870763955,7.12923604505292e-05,1,"Lipids","Medium Chain Fatty Acid","Fasting"
"lysopc a c14:0",0.0981091397985671,0.901890860201433,2,"Lipids","Lysolipid","Fasting"
"lysopc a c16:1",0.127135670008572,0.872864329991428,2,"Lipids","Lysolipid","Fasting"
"lysopc a c18:2",0.40101414991739,0.59898585008261,2,"Lipids","Lysolipid","Fasting"
"lysopc a c20:4",0.0584657036800148,0.941534296319985,2,"Lipids","Lysolipid","Fasting"
"malate",4.8278850980863e-08,0.999999951721149,2,"Energy","TCA Cycle","Fasting"
"methyl-4-hydroxybenzoate sulfate",0.0668156036970651,0.933184396302935,2,"Xenobiotics","Benzoate Metabolism","Fasting"
"methylmalonate (mma)",1.04790560323366e-07,0.99999989520944,2,"Lipids","Fatty Acid Metabolism (also BCAA Metabolism)","Fasting"
"myristoleoylcarnitine",1,2.65928759627581e-18,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"myristoylcarnitine",0.999478051584626,0.000521948415374,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"n-acetylglutamate",0.00285177558096783,0.997148224419032,2,"Amino Acids","Glutamate Metabolism","Fasting"
"n-acetylglycine",0.999993686355134,6.31364486601805e-06,1,"Amino Acids","Glycine, Serine and Threonine Metabolism","Fasting"
"n-acetylkynurenine (2)",4.1609906677077e-09,0.999999995839009,2,"Amino Acids","Tryptophan Metabolism","Fasting"
"n-acetyltryptophan",2.18903970331881e-07,0.99999978109603,2,"Amino Acids","Tryptophan Metabolism","Fasting"
"o-methylcatechol sulfate",0.000639376100390161,0.99936062389961,2,"Xenobiotics","Benzoate Metabolism","Fasting"
"octadecanedioate",0.999999995763855,4.23614456214887e-09,1,"Lipids","Fatty Acid, Dicarboxylate","Fasting"
"oleoylcarnitine",0.999985228273355,1.47717266446347e-05,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"ornithine",0.999999999075222,9.24777502240818e-10,1,"Amino Acids","Urea cycle; Arginine and Proline Metabolism","Fasting"
"palmitoylcarnitine",0.998876606592919,0.00112339340708063,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"pc aa c36:1",0.100013984890422,0.899986015109578,2,"Lipids","Diacylphosphatidylcholine","Fasting"
"pc aa c36:2",0.406320924946413,0.593679075053587,2,"Lipids","Diacylphosphatidylcholine","Fasting"
"phenylacetylcarnitine",6.02479764375649e-05,0.999939752023562,2,"Amino Acids","Phenylalanine and Tyrosine Metabolism","Fasting"
"phenyllactate (pla)",3.96596661902377e-09,0.999999996034033,2,"Amino Acids","Phenylalanine and Tyrosine Metabolism","Fasting"
"phosphate",0.99999999628917,3.71082981068676e-09,1,"Energy","Oxidative Phosphorylation","Fasting"
"piperine",0.994457247226234,0.00554275277376625,1,"Xenobiotics","Food Component/Plant","Fasting"
"pregnenolone sulfate",4.20922910387788e-09,0.999999995790771,2,"Lipids","Steroid","Fasting"
"pro-hydroxy-pro",1,2.41044438622912e-18,1,"Amino Acids","Urea cycle; Arginine and Proline Metabolism","Fasting"
"proline",0.316733554133889,0.683266445866111,2,"Amino Acids","Urea cycle; Arginine and Proline Metabolism","Fasting"
"propionylcarnitine",1.98418266248306e-06,0.999998015817337,2,"Lipids","Fatty Acid Metabolism (also BCAA Metabolism)","Fasting"
"pyruvate",0.000159008124661343,0.999840991875339,2,"Carbohydrates","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","Fasting"
"sebacate (decanedioate)",0.99999963218302,3.67816979748993e-07,1,"Lipids","Fatty Acid, Dicarboxylate","Fasting"
"suberoyl carnitine",0.99999998529607,1.47039300583332e-08,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"tetradecanedioate",0.999999999882275,1.1772465479457e-10,1,"Lipids","Fatty Acid, Dicarboxylate","Fasting"
"trans-urocanate",0.999999860520273,1.39479727286738e-07,1,"Amino Acids","Histidine Metabolism","Fasting"
"trigonelline (n'-methylnicotinate)",0.999999982927976,1.70720243602121e-08,1,"Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","Fasting"
"urea",5.98579939004707e-06,0.99999401420061,2,"Amino Acids","Urea cycle; Arginine and Proline Metabolism","Fasting"
"xanthine",0.999999999999997,3.03598711248478e-15,1,"Nucleotides","Purine Metabolism, (Hypo)Xanthine/Inosine containing","Fasting"
"xanthurenate",1.86825045173205e-07,0.999999813174955,2,"Amino Acids","Tryptophan Metabolism","Fasting"
