"metabolite","cluster","Cluster_1","Cluster_2","Cluster_3","Cluster_4","Cluster_5","Cluster_6"
"1",3,0.00189405171541182,0.00584384458869306,0.991895053720453,2.40529701769671e-07,0.000361513491851292,5.29595388931084e-06
"2",4,0.000467552349490788,6.5184683001789e-06,0.00135090067593974,0.997381658622561,1.67925652491421e-06,0.00079169062718321
"3",3,0.00804085979721773,0.0360692982593804,0.955789304673232,3.75322642246028e-06,1.61737694549252e-05,8.06102742926682e-05
"4",2,8.01318575366995e-08,0.99999698292455,1.24945535997868e-06,6.09062351245279e-11,1.68427334266928e-06,3.15398374795557e-09
"5",2,4.71192035126248e-06,0.99800407964003,0.00196994351234212,4.37558821237703e-10,2.12154163721632e-05,4.90733457123877e-08
"6",2,1.1544042062872e-09,0.999784189092021,1.36480801836345e-05,1.76899287014914e-12,0.0002021616562659,1.53564258394759e-11
"7",2,1.72062135158053e-05,0.987976477832878,0.0118253445896031,1.23416678759598e-09,0.000180818415631957,1.51714204947415e-07
"8",1,0.99962527472805,0.000179438927850796,0.000176230739596217,2.50134985971904e-06,1.41384743376436e-05,2.41578030539938e-06
"9",2,6.3088852709714e-09,0.999994127261146,2.56998540685863e-06,3.07499738794511e-13,3.29644361907833e-06,6.35230340409898e-13
"10",6,1.31207330203011e-05,1.11766257773545e-08,1.81244792351218e-08,0.0242166269386021,2.04929769693486e-09,0.975770220977975
"11",1,0.998678068131659,0.000625631813061866,6.02170836911382e-05,0.000499571632080722,4.47543852384486e-06,0.000132035900983528
"12",2,0.00849565993449456,0.921836559997504,0.0677729243183777,1.66882705432894e-08,0.00189366150488108,1.17755647190166e-06
"13",4,0.000110604634708941,1.21666693645246e-07,1.83518291572003e-07,0.999557663154464,6.93298091521209e-08,0.000331357696032904
"14",2,5.50501380688135e-11,0.99999238082961,3.67192895223981e-07,8.95409065285884e-15,7.25192237941953e-06,5.58422184954616e-14
"15",2,9.37679449674319e-08,0.997077474194996,1.34787909530312e-05,6.21553707229176e-12,0.0029089532114524,2.84382484051995e-11
"16",2,3.06680941029412e-08,0.998278439806972,5.53543459897093e-05,5.71383606323825e-12,0.00166617515085879,2.2371272241575e-11
"17",3,4.09822387276815e-11,9.20833263483428e-08,0.999999904356731,4.79826443787252e-14,3.51880529392419e-09,1.06815143350719e-13
"18",6,0.000128515430362066,1.45911158397624e-06,1.76000415005199e-06,0.00111645887132367,1.93864021614811e-07,0.998751612718559
"19",3,2.01210826460501e-09,0.000130921315004041,0.999869049039299,1.24302120235974e-12,2.76201575057016e-08,1.21886724687073e-11
"20",3,1.65795500528447e-08,0.0399050929407226,0.960094081479763,1.01249295509005e-12,8.08968800650202e-07,3.0151578955386e-11
"21",3,6.45121680430894e-06,3.57583284282865e-06,0.999987316864927,9.86155861179904e-07,1.48460751017441e-06,1.85322054730638e-07
"22",6,0.000122670717945825,3.32585124647698e-05,4.42929381404689e-06,0.00269612488925659,5.55871273878396e-07,0.997142960715245
"23",4,7.16666158301236e-06,3.46993740608838e-10,5.80140763841087e-10,0.99831594440426,3.73892911372533e-11,0.0016768879696329
"24",1,0.603170294345966,0.3674848415814,0.0289480873696211,2.5639105362049e-05,0.000328366358594048,4.27712390569548e-05
"25",1,0.999970100037935,2.16293834957152e-05,8.12687284790605e-06,4.38789106746471e-08,9.18345438759709e-08,7.99226663884837e-09
"26",6,0.000561895088810329,2.20462169992486e-08,8.38209985433212e-08,0.00670502681519859,1.69120694646792e-08,0.992732955316706
"27",6,0.000837771117727395,5.6045644319668e-06,3.29881205730099e-06,0.00171866152344788,3.22496375508437e-07,0.99743434148596
"28",1,0.985643304295033,0.010854407078234,0.000329833874487984,0.000122909200143388,0.000793610334085828,0.00225593521801556
"29",6,0.000464084260252443,2.86912662524606e-08,3.33182943275502e-08,0.190329595869009,8.36359508175907e-09,0.809206249497583
"30",1,0.993134344366638,0.0067907419729196,7.04825646473875e-05,1.38554897472119e-07,4.10363128226093e-06,1.88909614782004e-07
"31",2,3.10643142305279e-10,0.999992504832924,5.43110149823375e-06,3.69995402351889e-14,2.06375267027339e-06,2.22678345607771e-12
"32",2,1.86666956435142e-08,0.999818750379482,6.53905911386271e-05,6.92378454852849e-12,0.000115840329985816,2.5774210325464e-11
"33",2,1.42310729681375e-08,0.999996834266424,2.32721048921509e-06,3.4232578765332e-11,8.24213565200566e-07,4.42161145174041e-11
"34",5,3.50112415025709e-08,4.8675333036314e-06,2.82752613735788e-07,9.9271565828799e-13,0.999994814695902,5.94594295924053e-12
"35",4,0.0011828879469591,1.26861803873236e-09,3.81733950058037e-08,0.998253209260232,2.97217836712939e-10,0.000563863053578521
"36",2,0.00940362872393849,0.990177152066108,0.000249673890122074,2.53713277107269e-08,0.000169438849260498,8.10992428129748e-08
"37",2,0.0464283286287302,0.946322661668763,0.00656407805017851,1.65693889588985e-08,0.000684870725948087,4.43569909753137e-08
"38",6,0.000627554750133592,2.04726763491094e-06,2.58832281192016e-06,0.107776770828817,6.70240134964181e-07,0.891590368590468
"39",3,2.24939104802644e-05,0.000364036131843235,0.996124752047847,1.75204115854155e-10,0.0034887012506244,1.64840010733269e-08
"40",5,9.1822378450944e-08,5.62540816445821e-05,1.56656337040125e-05,1.76330803824581e-13,0.999927988451331,1.07651300059742e-11
"41",3,3.99078567921005e-11,1.7425562045106e-07,0.999971378467536,2.55786911841307e-15,2.84472369293662e-05,3.33731421548589e-15
"42",3,2.08007308158117e-09,2.73106450358221e-07,0.999995667918719,1.81575464601837e-12,4.05688909883459e-06,3.84348794092858e-12
"43",3,7.4105752002725e-08,4.56491007220497e-05,0.999787709078454,1.88817091455839e-10,0.000166567235359393,2.90895971562719e-10
"44",5,3.50765752266254e-10,3.22590941671621e-05,8.41096915110965e-05,6.60772311983513e-13,0.999883630860365,2.53070289747255e-12
"45",3,8.94388559668907e-05,0.000107316109880663,0.999392258491243,3.90201968494906e-09,0.000410981962586222,6.78303238029365e-10
"46",2,3.72261732182123e-10,0.999994773572969,7.70497859683136e-07,2.33871466164083e-12,4.45554871667296e-06,5.85394819481174e-12
"47",4,4.7582268030388e-08,4.30531182959703e-11,1.20835155214736e-11,0.998704864765144,4.37400102709422e-12,0.00129508759307781
"48",4,2.58412168670302e-06,2.51500391997901e-09,2.14283139792494e-09,0.999850770541006,3.77435912125579e-10,0.000146640302035721
"49",2,2.86148694105526e-10,0.999998833917671,9.91962192998692e-07,1.18681527312023e-13,1.73827721806777e-07,6.14721159686238e-12
"50",1,0.989409575941352,4.98750910649482e-07,1.70652501931138e-05,0.000472096006214619,1.47367464982814e-07,0.0101006166838642
"51",3,0.00100098610480788,0.00503143281790851,0.992595430106227,0.0011535131574133,0.000194560397028842,2.40774166140904e-05
"52",6,0.0048616958749832,1.01662210132131e-05,2.34540735007119e-06,0.00157518226621307,2.47169070249313e-07,0.99355036306137
"53",4,4.35440695944405e-06,9.00680238385265e-10,7.50406815340538e-09,0.995201855060095,6.97082728632001e-10,0.00479378143111463
"54",5,7.63696035241861e-15,6.38905880554351e-11,1.01004855018359e-12,1.20180662926411e-17,0.999999999935092,1.04036892425525e-16
"55",4,6.96266500502456e-09,3.50336627904189e-12,2.01315077511813e-11,0.999995225042412,1.09272406883143e-12,4.76797019505982e-06
"56",1,0.997752205754452,2.16591042133341e-08,2.27831969536208e-06,4.17996297940527e-05,1.22840806994109e-08,0.00220368235287361
"57",1,0.999974782710699,3.77609362139141e-06,1.89007907953789e-05,1.32872300231641e-07,8.23385971829489e-07,1.5841466117041e-06
"58",2,2.07381355142305e-07,0.999984645841467,1.45676640078108e-05,2.41980386192489e-09,5.70431877832684e-07,6.26148899064263e-09
"59",5,5.27344501271818e-18,1.25492257831357e-13,2.81409663203651e-14,7.40531812459729e-21,0.999999999999846,4.07521640705391e-20
"60",6,1.22058737412961e-06,1.28253589748292e-08,1.69615418418265e-09,3.34570396423717e-05,1.68039145074185e-09,0.999965306171079
"61",6,6.85726587083479e-06,2.25394616678237e-08,7.24027700774515e-09,0.00157598621767817,2.28012416688245e-09,0.998417124456588
"62",6,1.2696034912804e-05,1.97128347114349e-07,9.15507165740859e-08,9.4717828254727e-05,1.16652817347602e-08,0.999892285792487
"63",4,3.44220015431036e-06,3.98458890257907e-11,3.64990959022479e-11,0.999955045688641,6.57736680865854e-12,4.15120282825969e-05
"64",2,4.82592746048409e-10,0.999999858827871,6.10135875524952e-08,1.86112064911756e-13,7.96661557251709e-08,9.60656431108851e-12
"65",6,2.02625377883485e-05,3.86960493036116e-07,1.05219614355304e-07,0.000362841096540529,3.0263156422727e-08,0.999616373922407
"66",6,0.0591397600809721,0.00436212313348562,0.00124018571793859,0.00918124689062921,0.00187469217637362,0.924201992000601
"67",4,0.00043143379380923,2.01152123380517e-05,0.000244913587555636,0.956129299327419,3.31092642403398e-06,0.0431709271524546
"68",1,0.895967409919314,0.0161321332574521,0.0486468306810081,0.00921541002936246,0.00370572637697945,0.0263324897358837
"69",4,0.000460312440981755,1.43023515561863e-05,4.453612504465e-06,0.991562771820683,2.82364413247572e-07,0.00795787740986176
"70",6,0.14362659964927,0.000117028392347962,0.000268256238790777,0.0202354449465362,3.55770165131067e-05,0.835717093756542
"71",4,0.000189434658379821,1.51979401009518e-05,7.86761443811638e-06,0.919029187429439,7.44246355064696e-07,0.0807575681112867
"72",5,2.72106290502831e-10,4.94534229257984e-06,0.0136218165686486,8.06970592965718e-15,0.986373237816883,6.11386944346047e-14
"73",5,1.39036246632733e-07,6.72671874043604e-05,1.95028216770161e-05,4.94203341299238e-14,0.999913090949923,4.69952775113737e-12
"74",4,0.000134067272782694,6.65310786703531e-08,5.16172605714041e-07,0.999846191568709,8.63047704300092e-09,1.91498243467422e-05
"75",2,4.92251356199404e-05,0.970050525558401,0.0298433379882649,2.56354109981553e-09,5.6866782706196e-05,4.19714669665717e-08
"76",6,2.35526048876539e-05,8.1468506238281e-08,2.33618793386721e-08,0.0686442513704688,8.24210449889003e-09,0.931332082952153
"77",4,1.02040440278213e-05,3.73673380463029e-09,1.1665159620929e-09,0.802293199229137,2.95551915832796e-10,0.197696591528033
"78",6,8.23493117539766e-05,2.90437579733451e-09,3.35539691251715e-08,0.0927698240042011,1.2167760852427e-09,0.907147789008924
"79",5,2.12140683972673e-10,8.18959481568518e-06,6.1993332337394e-05,1.19129415002636e-13,0.999929816860309,2.78557811272302e-13
"80",3,2.76528682451609e-05,5.76069366770491e-05,0.999751823002851,5.35376295859041e-11,0.000162917076828229,6.1861257781353e-11
"81",1,0.998733416034705,1.84854481357801e-07,1.79475941838078e-06,8.59034804388985e-05,1.49490275011366e-07,0.00117855138068093
"82",1,0.91445612974142,0.0185233156715165,0.0432601095073733,5.77469746571941e-08,0.0237537686151126,6.61871760230166e-06
"83",4,0.00232138892821264,0.000154850650979582,0.0027234402654234,0.926662428498165,8.40382983810554e-06,0.068129487827381
"84",4,1.52737425961456e-05,2.98003699929121e-07,6.90358171264832e-06,0.997257018821084,1.80773708383317e-08,0.00272048777353687
"85",4,6.24180683372714e-05,2.85603451182862e-07,2.30586411136526e-07,0.997530524789376,1.56566114667171e-07,0.00240638438631023
"86",1,0.992699494778196,3.06022498519368e-05,3.0739234794657e-05,0.00475267707504102,2.73466746665132e-06,0.0024837519946503
"87",2,0.00864740801005564,0.972444551240837,0.0142723941162967,0.00175534067482009,0.000275710683988713,0.00260459527400156
"88",6,0.0227919000411402,1.54591783212036e-06,7.89188456314655e-07,0.00222128454689453,8.7118607435018e-08,0.974984393187069
"89",6,0.00379151044917396,0.000137031655216859,9.88260977107668e-05,0.00753409385206946,1.56866828521611e-05,0.988422851262977
"90",1,0.999985574944103,2.6005095806037e-07,1.4287797250216e-07,1.40373628031704e-08,8.71937831439535e-09,1.39993702253719e-05
"91",6,2.4659726502596e-05,9.63734367412275e-09,4.01766265866752e-09,0.137891113662048,2.20487219489937e-09,0.862084210751571
"92",4,6.19214302695366e-07,1.18154059779518e-11,3.4156027051789e-12,0.998148018949786,1.00887330238966e-12,0.00185136181967112
"93",4,1.63485276963299e-06,1.03170793261998e-10,3.74586850405577e-10,0.999962242203278,3.00037330505489e-11,3.61224361912012e-05
"94",5,5.59068196326233e-14,4.0290637035786e-11,4.71560581698602e-12,3.16301848937447e-16,0.999999999954935,2.15939534022099e-15
"95",5,1.82666497670741e-16,1.81167554437328e-12,2.48255442852237e-14,4.69255470587244e-20,0.999999999998163,4.52812240955807e-19
"96",5,7.74435437909489e-17,5.75456591194609e-13,5.4543376015548e-14,6.84596149073947e-20,0.99999999999937,6.35001472210062e-19
"97",6,0.0738876521391619,0.00134115075499408,0.0624382404642648,0.0104561361095484,0.000423038633256905,0.851453781898774
"98",6,7.4187874552892e-05,1.784457595373e-05,4.11017916774285e-06,7.56064966286728e-05,4.65496442558439e-07,0.999827785377254
"99",1,0.998724412371712,4.51269283541651e-07,1.74333521919932e-06,0.00109362000910612,1.57278846981221e-08,0.000179757286795037
"100",2,0.00100850945879687,0.997359526112055,0.00107065361280625,2.23413891766458e-06,0.000149932987157863,0.000409143690265926
"101",1,0.999476812165613,1.14721525875873e-07,1.24863251306658e-07,0.00050840303268214,5.23610477839886e-09,1.45399808225947e-05
