Metabolite,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Assigned_Cluster,Super_Pathway,Sub_Pathway
1-docosahexaenoyl-gpe (22:6),1.82030855101599e-06,8.10453794969504e-09,1.58647487016236e-08,2.73832601590312e-08,0.0503522252783869,0.949645834841296,6.81942668547503e-08,2.49524107827374e-11,6,Lipids,Lysolipid
1-linoleoyl-gpe (18:2),0.999987807217907,5.41627717859951e-08,1.87316057271714e-07,6.37219498635653e-11,7.83641846440687e-06,7.37514366678802e-08,4.04105868815008e-06,1.09523580246285e-11,1,Lipids,Lysolipid
10-undecenoate (11:1n1),0.142278044034526,7.9753344057506e-06,2.12960486836425e-05,1.31883765672375e-07,0.856827413725614,0.000655957616310221,0.000209176499354303,4.85734120181956e-09,5,Lipids,Medium Chain Fatty Acid
15-methylpalmitate,6.18334275103881e-09,0.000138582158172882,0.999823666206744,3.29226795978319e-14,2.87653068461208e-11,3.17800733741584e-12,3.77454189343846e-05,8.293599205468e-13,3,Lipids,"Fatty Acid, Branched"
16-hydroxypalmitate,5.93774447279708e-12,0.999996787828558,3.21048081697731e-06,1.68536140126232e-16,7.55355156763452e-14,1.0981753860966e-14,1.68458274772582e-09,1.76595542477484e-14,2,Lipids,"Fatty Acid, Monohydroxy"
17-methylstearate,0.000683086775387281,0.831066782112025,0.152940450019695,2.93415509632484e-07,3.70801950136941e-05,8.74831458435727e-06,0.0129395282281943,0.00232403093959091,2,Lipids,"Fatty Acid, Branched"
"2,3-dihydroxyisovalerate",1.36028438478806e-06,1.48517034129026e-05,9.51667689752179e-06,1.79523043387247e-08,3.31973973607975e-07,1.49611425703542e-07,4.34832803385197e-06,0.999969423469567,8,Xenobiotics,Food Component/Plant
2-hydroxy-3-methylvalerate,6.21012246049137e-06,0.00157903270321934,0.278099067170496,1.2373336251871e-11,1.53995711514589e-08,1.46291920875918e-09,0.720315672961967,1.66993923574649e-10,7,Amino Acids,"Leucine, Isoleucine and Valine Metabolism"
2-hydroxybutyrate/2-hydroxyisobutyrate,1.65482685202402e-10,2.30863108517131e-13,4.98549838285694e-13,9.42279619544004e-14,0.999999985131685,1.46992596952685e-08,2.74901657112794e-12,4.07874800443995e-16,5,Amino Acids,"Methionine, Cysteine, SAM and Taurine Metabolism"
2-myristoyl-gpc (14:0),9.35109696723391e-07,3.77120808356538e-05,0.00271960799530241,1.08711371198725e-12,1.62357887633719e-09,1.42476941242819e-10,0.997241743036084,1.09378257931891e-11,7,Lipids,Lysolipid
3-(4-hydroxyphenyl)lactate,8.2110161383351e-06,3.47821664817806e-09,8.20294515297745e-09,3.17169033420576e-10,0.99998478573111,6.93416199616563e-06,5.70885555090577e-08,3.86960632050035e-12,5,Amino Acids,Phenylalanine and Tyrosine Metabolism
3-aminoisobutyrate,2.94100738152574e-08,8.04810507721031e-08,2.34566019772297e-06,1.31826977715676e-14,2.66578074254432e-11,2.04578784212096e-12,0.999997544419877,8.43948371900815e-14,7,Nucleotides,"Pyrimidine Metabolism, Thymine containing"
3-hydroxy-3-methylglutarate,0.000928385444072119,1.73434937729272e-05,0.000194230259465725,4.00732810818988e-11,1.54492958396244e-07,8.82782697285208e-09,0.998859877330735,1.11095459021676e-10,7,Lipids,Mevalonate Metabolism
3-hydroxybutyrate (bhba),0.0276806900517804,7.97690370121499e-05,0.000719314871675064,4.07968363314434e-10,2.02553754031212e-06,1.02740060006699e-07,0.971518096506973,8.4699017231372e-10,7,Lipids,Ketone Bodies
3-hydroxybutyrylcarnitine (1),4.5194966243525e-08,2.41370995644135e-07,8.51356348149938e-06,2.61748965379265e-14,4.89053696502888e-11,3.88784036296012e-12,0.99999119981755,1.87789249568815e-13,7,Lipids,Fatty Acid Metabolism (Acyl Carnitine)
3-hydroxybutyrylcarnitine (2),4.09976543836613e-08,2.00071159067689e-07,6.86959077458694e-06,2.29549240986686e-14,4.33432143684743e-11,3.42956046085006e-12,0.999992889293454,1.62182767830802e-13,7,Lipids,Fatty Acid Metabolism (Acyl Carnitine)
3-hydroxydecanoate,0.00204248872261087,0.704918212552034,0.191195189870842,1.62381240103227e-06,0.000149193619028725,3.94707231337395e-05,0.0256194228099298,0.0760343978900203,2,Lipids,"Fatty Acid, Monohydroxy"
3-hydroxyhippurate,6.23262588784735e-06,0.00220719079911051,0.471190657344979,1.3558869803057e-11,1.63679982241407e-08,1.57553292372691e-09,0.526595901080384,1.92548685033912e-10,7,Xenobiotics,Benzoate Metabolism
3-hydroxylaurate,1.30383100378412e-05,6.74321458633438e-07,1.02252040778224e-06,0.99171472388938,0.000338826601547007,0.00792929293698852,2.41012005376675e-06,1.13001261359268e-08,4,Lipids,"Fatty Acid, Monohydroxy"
3-hydroxymyristate,0.000414500387524568,0.041307226483657,0.015771117381145,7.14274839413982e-07,4.32372494207569e-05,1.32309266832217e-05,0.00331323342824641,0.939136739868484,8,Lipids,"Fatty Acid, Monohydroxy"
3-hydroxyoctanoate,0.00875637667211364,1.10286000135238e-06,2.81187289341741e-06,3.29311893927289e-08,0.990959079595756,0.000256356678301721,2.42385544606638e-05,8.35284337008463e-10,5,Lipids,"Fatty Acid, Monohydroxy"
3-hydroxypyridine sulfate,0.999999745844032,1.6553710491373e-09,6.14198077695992e-09,1.09148060154824e-12,7.82247505639785e-08,9.99403749223259e-10,1.67133114285393e-07,2.55490542474668e-13,1,Xenobiotics,Chemical
3-indoxyl sulfate,6.93016187380497e-11,0.999979432747827,2.05503180555371e-05,2.20112229391857e-15,9.40399855192252e-13,1.39366757496296e-13,1.68634745250673e-08,2.59479202061054e-13,2,Amino Acids,Tryptophan Metabolism
3-methyl-2-oxobutyrate,8.92792456156691e-15,1.7644112269961e-13,9.94559743303746e-14,6.09990882632792e-17,1.67808909522221e-15,6.67148311908979e-16,3.70386335376392e-14,0.999999999999676,8,Amino Acids,"Leucine, Isoleucine and Valine Metabolism"
3-methyl-2-oxovalerate,0.000198758111998485,3.65362543841277e-05,4.71143708911413e-05,0.995619832647821,0.000935439395363475,0.00308175464387866,7.82440845947826e-05,2.32049106829582e-06,4,Amino Acids,"Leucine, Isoleucine and Valine Metabolism"
3-phenylpropionate (hydrocinnamate),2.29603610644108e-10,0.999949958464342,4.99898311102443e-05,7.75584321391633e-15,3.22728559041929e-12,4.83349115523927e-13,5.14702488522035e-08,9.76683012210513e-13,2,Amino Acids,Phenylalanine and Tyrosine Metabolism
"4-androsten-3alpha,17alpha-diol monosulfate (2)",0.999996982252795,1.66061749488658e-08,5.8994080549323e-08,1.55742172085332e-11,1.53638122579101e-06,1.63988064593434e-08,1.38934831826352e-06,3.02468963804449e-12,1,Lipids,Steroid
"4-androsten-3beta,17beta-diol monosulfate (1)",4.50777119329618e-06,0.00259272251126907,0.748776125220319,1.1100204222336e-11,1.28309525301554e-08,1.25836006716259e-09,0.248626630227187,1.69619289237259e-10,3,Lipids,Steroid
4-hydroxyhippurate,0.98211559972382,1.50234268622362e-05,9.23047536499695e-05,4.19350782857866e-10,4.06639489911471e-06,1.4904063369329e-07,0.0177728557997086,4.41075157404953e-10,1,Xenobiotics,Benzoate Metabolism
4-methyl-2-oxopentanoate,4.40670892943782e-08,2.30097980532271e-07,8.06125305052553e-06,2.53074187314285e-14,4.74090834445999e-11,3.76448451787655e-12,0.9999916645305,1.80871121337821e-13,7,Amino Acids,"Leucine, Isoleucine and Valine Metabolism"
5-dodecenoate (12:1n7),6.57544550857314e-05,0.926824876463201,0.0706276717199025,1.18506607311925e-08,2.30133658138094e-06,4.63131871750902e-07,0.00246378286210149,1.51381805950272e-05,2,Lipids,Medium Chain Fatty Acid
acetoacetate,0.999999699733254,1.0626262676781e-09,4.90463977898018e-09,1.49253763948074e-13,3.42737675405406e-09,8.09848438081865e-11,2.90790893292424e-07,7.57312636568724e-14,1,Lipids,Ketone Bodies
acetylcarnitine,1.02480335059979e-07,1.43602703967604e-09,2.51658124847573e-09,1.43048091713583e-07,4.02573619566039e-05,0.999959484876005,8.27223669228845e-09,8.76648632899122e-12,6,Lipids,Fatty Acid Metabolism (Acyl Carnitine)
adipoylcarnitine,6.28491602392562e-06,0.00168029699213718,0.304472103300062,1.26923518731991e-11,1.57230602373737e-08,1.49666507873094e-09,0.693841297386727,1.72632512409444e-10,7,Lipids,Fatty Acid Metabolism (Acyl Carnitine)
alanine,5.62579015228638e-06,2.20790292397792e-08,4.37119614002174e-08,5.6639736119561e-08,0.311739072284844,0.688254986169284,1.93261380078165e-07,6.36135630548051e-11,6,Amino Acids,Alanine and Aspartate Metabolism
alpha-hydroxyisocaproate,0.000132050967788095,6.23488002813069e-06,7.95296157438338e-05,9.33526491193098e-12,3.17635593203179e-08,1.92357465646724e-09,0.999782150809894,3.00770657757694e-11,7,Amino Acids,"Leucine, Isoleucine and Valine Metabolism"
alpha-ketobutyrate,1.50629504897991e-07,0.996247603544428,0.00373445160281595,8.56709218026891e-12,2.83846203658934e-09,4.65213853490433e-10,1.77889378845867e-05,1.97312391817471e-09,2,Amino Acids,"Methionine, Cysteine, SAM and Taurine Metabolism"
c0 (carnitine),0.196775664241328,0.167375661172713,0.18799280572019,0.0145971445843958,0.119786619280237,0.081105132009691,0.213338438332626,0.0190285346588189,7,Lipids,Carnitine Metabolism
c12 (dodecanoylcarnitine),0.301074688905594,0.0911205926702694,0.172407433221336,5.05209227519241e-05,0.021759729144369,0.00400319512647944,0.409500698449559,8.31415596414265e-05,7,Lipids,Fatty Acid Metabolism (Acyl Carnitine)
c14 (tetradecanoylcarnitine),0.229764684902087,0.168367568104292,0.185712886243195,0.00358467605197157,0.133537248859529,0.0605521318179485,0.213402908129729,0.00507789589124689,1,Lipids,Fatty Acid Metabolism (Acyl Carnitine)
c14:1 (tetradecenoylcarnitine),0.17875981799166,0.160728593729848,0.164053344209762,0.0263676567123207,0.155076863335596,0.112736912966061,0.17011969703159,0.0321571140231629,1,Lipids,Fatty Acid Metabolism (Acyl Carnitine)
c14:1-oh (hydroxytetradecenoylcarnitine),0.287198082290917,0.112167093404663,0.188774090712836,0.000125179472630379,0.0329797669751602,0.0074860742955955,0.371067323765408,0.000202389082789441,7,Lipids,Fatty Acid Metabolism (Acyl Carnitine)
c14:2 (tetradecadienylcarnitine),0.221474655327136,0.000256432679464258,0.00193223307662925,2.19105628509304e-09,1.27727346745069e-05,5.99999461660363e-07,0.776323300171822,3.81975609895314e-09,7,Lipids,Fatty Acid Metabolism (Acyl Carnitine)
c16:2 (hexadecadienylcarnitine),0.154190840315121,0.147607410544482,0.153711028913177,0.0650383292738239,0.130244155894449,0.116649326911242,0.16012219709833,0.0724367110493753,7,Lipids,Fatty Acid Metabolism (Acyl Carnitine)
c18:1 (octadecenoylcarnitine),0.193202756922172,0.165731737053597,0.172032437320882,0.0152031386401275,0.153226777872768,0.0986644515852744,0.18245027942378,0.0194884211813985,1,Lipids,Fatty Acid Metabolism (Acyl Carnitine)
c2 (acetylcarnitine),0.215877986639617,0.168941531537015,0.181590172603425,0.00616800969853532,0.142963380466608,0.0743456384743438,0.201660330983898,0.00845294959655839,1,Lipids,Fatty Acid Metabolism (Acyl Carnitine)
c3 (propionylcarnitine),0.239917929686325,0.158684818563906,0.205226465731159,0.00174029145734838,0.0802865910381881,0.034200410465484,0.277358694291657,0.00258479876593241,7,Lipids,Fatty Acid Metabolism (also BCAA Metabolism)
c4 (butyrylcarnitine),0.218270154572228,0.167215875700685,0.19953896992367,0.00530702150478833,0.102505177589466,0.0561766969573806,0.243553784344331,0.00743231940745163,7,Lipids,Fatty Acid Metabolism (also BCAA Metabolism)
caprate (10:0),2.07769399210076e-07,3.05389707504897e-09,5.32551566486228e-09,3.68304376500529e-07,7.19007155809164e-05,0.999927497509477,1.73025016122834e-08,1.92516133145234e-11,6,Lipids,Medium Chain Fatty Acid
choline,8.79287440987396e-14,7.32979696610445e-16,1.35295753055325e-15,1.24212460403526e-14,1.68636590758429e-10,0.999999999831256,5.03578116614017e-15,3.21843469892996e-18,6,Lipids,Phospholipid Metabolism
cis-aconitate,0.000793374307825118,0.0933285766816495,0.0341185564134564,1.21859143622833e-06,7.85795906519019e-05,2.35289412058294e-05,0.00675256653931002,0.864903598934465,8,Energy,TCA Cycle
cortisol,2.05826671900964e-07,0.000797526672204662,0.996200935741897,7.83763248641359e-13,7.75022345167706e-10,8.12544121979116e-11,0.00300133088643265,1.57327889595826e-11,3,Lipids,Steroid
deoxycholate,0.99227170751845,7.75164026681966e-06,4.60885261374957e-05,2.55763975999724e-10,2.68005194278386e-06,9.45156086978915e-08,0.00767167724143502,2.50394839844936e-10,1,Lipids,Secondary Bile Acid Metabolism
dodecanedioate,0.999999999770886,1.25376333914194e-12,5.20612809178686e-12,3.57148043649003e-16,1.3168907929866e-11,2.42099011016444e-13,2.09242190298126e-10,1.28405305256845e-16,1,Lipids,"Fatty Acid, Dicarboxylate"
dopamine sulfate (2),0.892350915883005,1.18197529536906e-05,3.3926093745671e-05,8.44900496973238e-08,0.106948918418471,0.000243282409193969,0.000411047761670512,5.19091045215154e-09,1,Amino Acids,Phenylalanine and Tyrosine Metabolism
gamma-glutamylglycine,1.83812237632368e-07,2.31082559417906e-06,1.43727203697818e-06,2.05483969486729e-09,4.20518549384138e-08,1.83622164033058e-08,6.25755058715942e-07,0.999995379866161,8,Peptides,Gamma-glutamyl Amino Acid
glycerol,6.56487268320215e-05,3.03280055358332e-06,4.66068886181846e-06,0.934335526197939,0.00205642257015148,0.0635233443268664,1.13186795405364e-05,4.60092551793211e-08,4,Lipids,Glycerolipid Metabolism
hexadecanedioate,0.966666060068011,7.31571449991839e-06,2.15275268107584e-05,3.99882208002354e-08,0.0329256883519356,9.84984092011075e-05,0.000280867060385973,2.88093481066365e-09,1,Lipids,"Fatty Acid, Dicarboxylate"
hippurate,1.13818259758418e-06,0.00170489200647527,0.968004732919523,3.52280491005204e-12,3.75444848958561e-09,3.81251946418191e-10,0.0302892326902543,6.19261781125432e-11,3,Xenobiotics,Benzoate Metabolism
indolepropionate,5.00378008654604e-09,3.14794811650121e-11,5.9688949606553e-11,2.44602977523654e-10,2.78511485078347e-05,0.999972143274634,2.37189260613273e-10,1.17234038578221e-13,6,Amino Acids,Tryptophan Metabolism
isobutyrylcarnitine,0.999999705818261,1.04256447976595e-09,4.81054154630836e-09,1.46726944872453e-13,3.37351666858543e-09,7.96607509784089e-11,2.84875234875269e-07,7.43788042732904e-14,1,Amino Acids,"Leucine, Isoleucine and Valine Metabolism"
laurate (12:0),2.83254986261094e-08,5.29977700868691e-11,1.11777431276102e-10,3.41848831448414e-11,0.999988029509782,1.194138571155e-05,5.79940908000547e-10,1.0658217551772e-13,5,Lipids,Medium Chain Fatty Acid
lysopc a c16:1,0.319340208903054,0.0498592114442721,0.124605547054066,7.80210065629378e-06,0.00773160626458859,0.000962678991113942,0.497479779699512,1.31655427380369e-05,7,Lipids,Lysolipid
lysopc a c18:2,0.146975949926056,0.142189380321209,0.141919706700679,0.072882556029725,0.144777154097216,0.12966207751369,0.142585483543529,0.0790076918678963,1,Lipids,Lysolipid
lysopc a c20:4,0.174545713660824,0.158832083654674,0.16145538669341,0.030702295316268,0.154828114283291,0.116259780220413,0.166499951148636,0.0368766750224845,1,Lipids,Lysolipid
malate,3.13676053670648e-08,1.08477191882685e-07,3.37249824360395e-06,1.54027538446812e-14,3.0288642116136e-11,2.35362938620796e-12,0.999996487624199,1.02626134863843e-13,7,Energy,TCA Cycle
methyl-4-hydroxybenzoate sulfate,5.82188977425208e-06,0.00243361194835343,0.574449473732421,1.32217745792952e-11,1.5723334557707e-08,1.52330067090089e-09,0.423111074977036,1.92558060438654e-10,3,Xenobiotics,Benzoate Metabolism
methylmalonate (mma),0.0758401682745453,0.000114824645403425,0.000972484635324404,7.53581598714272e-10,4.07963212168811e-06,1.98574268998358e-07,0.923068242061372,1.42338248442576e-09,7,Lipids,Fatty Acid Metabolism (also BCAA Metabolism)
myristoleoylcarnitine,3.84540559587656e-05,9.66822543054622e-07,1.59218196775594e-06,0.00164841214717702,0.00377986934833309,0.99452617080519,4.5256892548235e-06,8.9495756747763e-09,6,Lipids,Fatty Acid Metabolism (Acyl Carnitine)
myristoylcarnitine,1.51438712061733e-05,0.960186404397174,0.0389930064390663,1.85706447847642e-09,4.33029236944891e-07,8.13059982809046e-08,0.000803680916297279,1.24818395677387e-06,2,Lipids,Fatty Acid Metabolism (Acyl Carnitine)
n-acetylglutamate,6.10344207794891e-16,5.34175291958453e-17,7.59416672974422e-17,0.999999999999931,7.22057510847574e-15,6.12396602531769e-14,1.55293888023606e-16,1.47736282710033e-18,4,Amino Acids,Glutamate Metabolism
n-acetylglycine,0.995920023185216,4.63589854906252e-06,2.692492737662e-05,1.72804661495559e-10,1.91900689435576e-06,6.57431706533529e-08,0.00404643090552066,1.6046831485305e-10,1,Amino Acids,"Glycine, Serine and Threonine Metabolism"
n-acetylkynurenine (2),5.86494371136212e-14,4.95493282749366e-16,9.13409411937415e-16,8.73739069981418e-15,1.07375327827622e-10,0.999999999892553,3.38908304562891e-15,2.1932726093796e-18,6,Amino Acids,Tryptophan Metabolism
n-acetyltryptophan,8.29319789359892e-05,0.919954434139626,0.0770098080507554,1.60334749611761e-08,3.00998022024181e-06,6.1349991272404e-07,0.00292594548343032,2.32408336442399e-05,2,Amino Acids,Tryptophan Metabolism
o-methylcatechol sulfate,0.999895012886145,2.12019660755569e-07,1.10077127029374e-06,1.46280552216571e-11,2.22404636721929e-07,6.50174557314424e-09,0.000103445391582185,1.03309120261937e-11,1,Xenobiotics,Benzoate Metabolism
octadecanedioate,8.0814319786633e-08,0.997404211775312,0.00258535245521532,4.28436041061281e-12,1.46452618537353e-09,2.37105607028665e-10,1.03523442779977e-05,9.0495827670426e-10,2,Lipids,"Fatty Acid, Dicarboxylate"
oleoylcarnitine,0.00221093557043907,0.422068447058503,0.135399778812654,2.48090485764521e-06,0.000189711620745394,5.35416818237283e-05,0.0224975430253415,0.417577561325636,2,Lipids,Fatty Acid Metabolism (Acyl Carnitine)
ornithine,9.43481096742559e-08,0.000549132843851136,0.998354105212517,3.90362273920413e-13,3.74470531505735e-10,3.97692730802657e-11,0.00109666717261526,8.27698045168197e-12,3,Amino Acids,Urea cycle; Arginine and Proline Metabolism
palmitoylcarnitine,0.982927846735973,5.35808720252308e-06,1.59868148852666e-05,2.53311601278718e-08,0.016775814521508,5.75352588065636e-05,0.000217431263109463,1.98735466420438e-09,1,Lipids,Fatty Acid Metabolism (Acyl Carnitine)
pc aa c36:1,0.270076217085565,0.133261081621321,0.200329472729069,0.000339020650819173,0.0487553530109967,0.0140504073713789,0.332653990533315,0.000534456997535429,7,Lipids,Diacylphosphatidylcholine
pc aa c36:2,0.189704967903185,0.165720482880026,0.18316067861897,0.0196886781689513,0.123801399973503,0.0889188935984529,0.203987596422754,0.0250173024341584,7,Lipids,Diacylphosphatidylcholine
phenylacetylcarnitine,1.62985062815416e-08,5.14651713613842e-07,2.60746777524349e-07,7.07276741841785e-11,2.53934184266211e-09,9.25940565751302e-10,8.24353044404401e-08,0.999999122331688,8,Amino Acids,Phenylalanine and Tyrosine Metabolism
phenyllactate (pla),1.44580565966714e-10,2.45675159081445e-09,1.43178105860941e-09,1.15692066798653e-12,2.8967234364514e-11,1.18683018288729e-11,5.61884785796789e-10,0.999999995363009,8,Amino Acids,Phenylalanine and Tyrosine Metabolism
phosphate,3.85413653532379e-06,1.59476589401745e-08,3.1424236186751e-08,4.58424110164977e-08,0.158230349005041,0.841765566289061,1.37307820852997e-07,4.72351331913581e-11,6,Energy,Oxidative Phosphorylation
piperine,0.999999964991876,2.31625094216443e-10,8.85604143848836e-10,1.20894453593052e-13,7.10905303520522e-09,1.01362215586659e-10,2.66803264871964e-08,3.19613047144132e-14,1,Xenobiotics,Food Component/Plant
pregnenolone sulfate,1.31808763340159e-10,3.45735585121926e-09,1.82827735251875e-09,6.80337128596892e-13,2.20791086934777e-11,8.3212345246734e-12,6.16867704207447e-10,0.99999999393461,8,Lipids,Steroid
pro-hydroxy-pro,0.96131769067714,7.81612153738944e-06,2.29288831017366e-05,4.41510809812864e-08,0.0382443211971183,0.000110803627743953,0.000296392222523706,3.1197543439267e-09,1,Amino Acids,Urea cycle; Arginine and Proline Metabolism
proline,0.245182105085432,0.155352892811835,0.205546416486066,0.00131646014881992,0.0746326304499103,0.0297770987662158,0.286213246808595,0.00197914944312596,7,Amino Acids,Urea cycle; Arginine and Proline Metabolism
propionylcarnitine,0.968603717299369,7.12105347429999e-06,2.09808040712522e-05,3.84153275325462e-08,0.0309994623592935,9.39219608965226e-05,0.000274755318404783,2.78916286823077e-09,1,Lipids,Fatty Acid Metabolism (also BCAA Metabolism)
pyruvate,1.62756980128128e-05,0.000927103677456229,0.000407794473782229,4.26731547199696e-08,2.04391669789294e-06,6.77215450470964e-07,0.000104640884633519,0.998541421460812,8,Carbohydrates,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
sebacate (decanedioate),9.27437033180867e-05,2.83115100885113e-08,6.82651256506538e-08,1.84774127255232e-09,0.999877876158033,2.87772002118791e-05,5.04485887039138e-07,2.81734357764449e-11,5,Lipids,"Fatty Acid, Dicarboxylate"
suberoyl carnitine,0.24485219433348,0.000153611988172816,0.00120396365530371,1.39090632734389e-09,8.46624001710877e-06,3.89571382973822e-07,0.753781370501643,2.31909387626671e-09,7,Lipids,Fatty Acid Metabolism (Acyl Carnitine)
tetradecanedioate,0.413063172120484,0.000154196840328154,0.00115932623004027,1.67047144601986e-09,1.08852295706041e-05,4.84678555743625e-07,0.585611930635815,2.59473512658004e-09,7,Lipids,"Fatty Acid, Dicarboxylate"
trans-urocanate,2.64921291680695e-09,0.0636172314653954,0.936380085021809,3.34807611339253e-14,2.09391095996333e-11,2.65886773960735e-12,2.68083830747436e-06,1.64401236610467e-12,3,Amino Acids,Histidine Metabolism
trigonelline (n'-methylnicotinate),1.21561950315325e-06,6.32003003297572e-10,1.46935590130108e-09,7.20873043915149e-11,0.999996761397773,2.01096766154172e-06,9.84086007925633e-09,7.5629554598165e-13,5,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism
urea,5.96662247453583e-08,8.08365355199923e-10,1.42154292397054e-09,7.05983218811401e-08,2.56751663721818e-05,0.999974187623101,4.71124691117222e-09,4.82514195950318e-12,6,Amino Acids,Urea cycle; Arginine and Proline Metabolism
xanthine,2.13927775354273e-05,4.95754520219895e-07,8.23730737422785e-07,0.000525097235146432,0.00250194526969068,0.996947850737912,2.3901780204371e-06,4.31643696551624e-09,6,Nucleotides,"Purine Metabolism, (Hypo)Xanthine/Inosine containing"
xanthurenate,5.42547311920959e-10,3.69747930721945e-12,6.95812311197559e-12,3.54890415223691e-11,2.19003241758843e-06,0.999997809351732,2.71441164030514e-11,1.44164172417793e-14,6,Amino Acids,Tryptophan Metabolism
